,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,fecha_incidente_amd,fecha_fallecimiento_amd,Rango_Edad
180,2017-0040,4/3/2017,2017,4,3,CONDUCTOR,AUTO,MASCULINO,43.0,4/3/2017,2017-04-03,2017-04-03,40-49
181,2017-0041,4/3/2017,2017,4,3,CONDUCTOR,MOTO,MASCULINO,17.0,SD,2017-04-03,,0-17
182,2017-0042,4/10/2017,2017,4,10,CONDUCTOR,MOTO,MASCULINO,,4/10/2017,2017-04-10,2017-04-10,
183,2017-0045,4/14/2017,2017,4,14,CONDUCTOR,MOTO,MASCULINO,21.0,4/14/2017,2017-04-14,2017-04-14,18-29
184,2017-0047,4/23/2017,2017,4,23,CONDUCTOR,MOTO,MASCULINO,37.0,4/23/2017,2017-04-23,2017-04-23,30-39
185,2017-0049,4/27/2017,2017,4,27,PEATON,PEATON,MASCULINO,22.0,4/27/2017,2017-04-27,2017-04-27,18-29
186,2017-0050,4/28/2017,2017,4,28,CONDUCTOR,MOTO,MASCULINO,46.0,4/28/2017,2017-04-28,2017-04-28,40-49
187,2017-0050,4/28/2017,2017,4,28,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16.0,4/28/2017,2017-04-28,2017-04-28,0-17
188,2017-0051,5/1/2017,2017,5,1,CONDUCTOR,AUTO,MASCULINO,33.0,5/1/2017,2017-05-01,2017-05-01,30-39
189,2017-0052,5/5/2017,2017,5,5,PEATON,PEATON,FEMENINO,47.0,5/5/2017,2017-05-05,2017-05-05,40-49
190,2017-0053,5/5/2017,2017,5,5,CONDUCTOR,MOTO,MASCULINO,28.0,5/5/2017,2017-05-05,2017-05-05,18-29
191,2017-0054,5/7/2017,2017,5,7,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20.0,5/7/2017,2017-05-07,2017-05-07,18-29
192,2017-0055,5/9/2017,2017,5,9,CONDUCTOR,AUTO,MASCULINO,32.0,5/9/2017,2017-05-09,2017-05-09,30-39
193,2017-0058,5/9/2017,2017,5,9,PEATON,PEATON,MASCULINO,80.0,5/9/2017,2017-05-09,2017-05-09,60+
194,2017-0059,5/11/2017,2017,5,11,PEATON,PEATON,FEMENINO,39.0,5/11/2017,2017-05-11,2017-05-11,30-39
195,2017-0060,5/13/2017,2017,5,13,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30.0,5/13/2017,2017-05-13,2017-05-13,30-39
196,2017-0061,5/15/2017,2017,5,15,PEATON,PEATON,MASCULINO,47.0,5/16/2017,2017-05-15,2017-05-16,40-49
